productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
639655,Distorted Reflections 1st Edition Booster Pack,Distorted Reflections 1st Edition Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/639655_200w.jpg,74,24366,https://cpt.tcgcsv.com/7T77,2025-07-01T17:20:08.33,1,,,,,,
639656,Distorted Reflections 1st Edition Booster Box,Distorted Reflections 1st Edition Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/639656_200w.jpg,74,24366,https://cpt.tcgcsv.com/8T77,2025-07-01T17:18:32.417,1,107.99,117.98,119.0,107.99,,Normal
639657,Distorted Reflections 1st Edition Booster Box Case,Distorted Reflections 1st Edition Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/639657_200w.jpg,74,24366,https://cpt.tcgcsv.com/9T77,2025-07-01T17:18:40.95,1,719.95,719.98,799.0,719.99,,Normal
